first_category_id,n_series,donors_calibration,donors_model_fit,donors_tuning,share_calibration,share_model_fit,share_tuning
0,38,296,1096,324,0.519,0.481,0.568
1,1,11,48,15,0.733,0.8,1.0
3,9,115,409,113,0.852,0.757,0.837
4,1088,9171,36890,9861,0.562,0.565,0.604
5,166,1953,6993,1969,0.784,0.702,0.791
6,5,62,139,61,0.827,0.463,0.813
7,100,825,3864,1016,0.55,0.644,0.677
8,289,2580,10854,2828,0.595,0.626,0.652
10,284,2417,10243,2767,0.567,0.601,0.65
11,51,457,1957,506,0.597,0.64,0.661
12,2,16,64,22,0.533,0.533,0.733
13,2,16,76,23,0.533,0.633,0.767
14,20,235,777,250,0.783,0.648,0.833
15,68,575,2213,575,0.564,0.542,0.564
16,719,5082,21071,5508,0.471,0.488,0.511
17,6,76,229,75,0.844,0.636,0.833
18,236,2061,8561,2073,0.582,0.605,0.586
20,554,5233,17678,5168,0.63,0.532,0.622
21,286,2328,8678,2516,0.543,0.506,0.586
22,33,478,1219,363,0.966,0.616,0.733
23,31,291,853,347,0.626,0.459,0.746
24,139,1296,4944,1326,0.622,0.593,0.636
25,43,416,1642,434,0.645,0.636,0.673
26,2,29,93,25,0.967,0.775,0.833
27,23,155,691,188,0.449,0.501,0.545
28,200,2512,6054,2066,0.837,0.504,0.689
29,349,1877,6730,2199,0.359,0.321,0.42
30,66,581,2239,679,0.587,0.565,0.686
31,190,1629,6945,1800,0.572,0.609,0.632
