key,first_category_id,sales_tier,stockout_tier,fit_stockout_rate,donors_model_fit,donors_tuning,donors_calibration
38,5,low,mid,0.16875,38,8,11
223,20,high,low,0.11041666666666666,38,10,11
578,4,mid,mid,0.18333333333333332,31,11,9
672,10,low,low,0.14479166666666668,42,9,11
712,24,high,mid,0.17083333333333334,42,10,10
719,10,low,mid,0.203125,29,11,4
1094,4,low,low,0.10416666666666667,43,6,7
1099,8,mid,low,0.153125,42,8,11
1108,8,mid,high,0.22708333333333333,31,8,7
1117,4,high,high,0.2875,18,9,9
1219,8,mid,low,0.121875,48,6,14
1247,16,low,high,0.225,29,3,3
1300,20,high,high,0.24375,19,14,10
1411,28,mid,mid,0.18958333333333333,41,12,15
1415,7,mid,low,0.11458333333333333,40,11,8
1452,29,mid,high,0.271875,13,4,3
1470,16,low,low,0.128125,38,10,4
1499,20,low,mid,0.16145833333333334,37,11,9
1578,4,high,low,0.14895833333333333,41,10,9
1631,16,high,mid,0.184375,30,10,7
1768,5,mid,low,0.07916666666666666,54,13,11
1816,27,low,high,0.22395833333333334,7,2,0
1822,20,low,high,0.24166666666666667,31,15,9
2011,18,mid,mid,0.16354166666666667,36,14,13
2016,8,mid,mid,0.17916666666666667,38,11,13
2093,21,mid,high,0.24375,23,10,8
2115,10,mid,mid,0.178125,43,15,14
2122,20,high,low,0.15625,35,8,10
2321,18,low,mid,0.16145833333333334,39,7,9
2633,16,low,high,0.278125,23,6,8
2644,23,mid,high,0.23229166666666667,26,12,8
2645,24,low,mid,0.20729166666666668,31,7,10
2670,31,low,mid,0.18854166666666666,41,11,8
8023,4,mid,mid,0.21458333333333332,32,14,9
8127,20,low,high,0.25104166666666666,30,13,12
8290,16,mid,mid,0.190625,33,13,10
8363,4,mid,low,0.13854166666666667,41,11,9
8422,16,mid,mid,0.18541666666666667,31,7,7
8600,29,mid,high,0.3729166666666667,12,8,3
8672,10,mid,low,0.12604166666666666,48,12,11
12041,4,low,high,0.6145833333333334,12,6,10
12207,4,low,high,0.25416666666666665,26,7,9
12240,4,mid,low,0.10729166666666666,40,8,8
12300,20,high,high,0.2833333333333333,17,8,7
12411,28,low,low,0.146875,47,13,15
12580,29,high,low,0.15,32,2,5
12638,16,low,mid,0.16770833333333332,36,10,8
18053,0,low,mid,0.18125,32,9,9
18074,21,mid,high,0.265625,11,1,2
18093,21,high,high,0.24166666666666667,24,11,8
18099,8,high,mid,0.1875,35,10,12
18109,8,mid,high,0.24479166666666666,31,9,9
18110,31,high,low,0.10416666666666667,45,10,7
18115,10,high,mid,0.21458333333333332,43,14,15
18192,8,mid,mid,0.18645833333333334,38,12,12
18296,16,high,high,0.27708333333333335,22,9,7
18300,20,high,high,0.346875,11,12,14
18303,4,mid,mid,0.175,37,9,9
18374,18,mid,high,0.23645833333333333,32,12,13
18469,24,mid,mid,0.190625,38,6,6
18630,16,low,high,0.28958333333333336,29,5,5
18632,16,low,high,0.36875,19,3,3
18638,16,high,mid,0.184375,30,7,8
18670,31,mid,low,0.14166666666666666,41,7,9
18676,24,low,mid,0.16145833333333334,47,14,13
18691,21,high,mid,0.20104166666666667,23,9,4
18774,4,high,mid,0.20833333333333334,39,11,7
18834,28,high,high,0.6208333333333333,0,0,8
18847,20,mid,high,0.21770833333333334,30,11,12
19017,20,low,low,0.128125,42,11,12
19108,8,low,mid,0.21354166666666666,32,7,3
19127,20,mid,low,0.10729166666666666,41,10,11
19769,20,high,mid,0.16145833333333334,29,12,7
24027,4,low,low,0.13020833333333334,46,12,9
24122,20,mid,mid,0.21354166666666666,26,9,11
24129,10,mid,high,0.4375,16,4,10
24138,27,low,mid,0.175,32,9,12
24411,28,low,high,0.21875,44,10,15
24486,20,high,mid,0.178125,32,11,9
24644,23,low,high,0.225,30,15,11
24645,24,low,mid,0.21354166666666666,32,10,13
24760,10,mid,mid,0.184375,34,12,14
24853,8,mid,low,0.15104166666666666,41,12,14
29026,4,mid,high,0.28125,26,6,5
29027,4,mid,low,0.121875,48,12,12
29067,18,low,mid,0.190625,39,11,7
29127,20,mid,low,0.12916666666666668,38,12,12
29219,8,high,low,0.10729166666666666,48,9,12
29345,16,mid,low,0.15416666666666667,35,9,8
29411,28,low,high,0.353125,34,10,14
29414,7,mid,low,0.08541666666666667,44,11,7
29486,20,high,mid,0.18020833333333333,28,10,8
29489,21,mid,low,0.11979166666666667,42,8,2
29631,16,high,mid,0.20729166666666668,33,12,6
29691,21,high,low,0.134375,33,11,5
29699,30,high,low,0.13854166666666667,40,14,8
29797,4,mid,high,0.23645833333333333,33,11,8
29802,5,high,mid,0.1625,47,15,14
34006,20,low,high,0.49583333333333335,13,4,6
34011,18,mid,low,0.15833333333333333,42,11,12
34070,4,high,high,0.3260416666666667,20,10,4
34127,20,mid,mid,0.20625,33,10,11
34374,18,low,low,0.12291666666666666,47,10,13
34396,7,mid,low,0.090625,48,9,10
34467,5,mid,mid,0.19895833333333332,42,14,11
