mechanism,model,num_leaves,min_data_in_leaf,best_iter,tuning_l2_visible,sec,tuning_pinball_visible
A,raw_l2,31,200,302,0.2630139085640254,9.6,
A,raw_l2,31,1000,995,0.29528805006706454,29.2,
A,raw_l2,63,200,273,0.2666164150974875,10.5,
A,raw_l2,63,1000,936,0.3003378910838667,38.9,
A,raw_q25,31,200,316,,16.4,0.10860388899464735
A,raw_q50,31,200,272,,13.9,0.1375903251841764
A,raw_q75,31,200,240,,12.8,0.11781216968988202
A,raw_q90,31,200,344,,16.4,0.07291178115779508
B,raw_l2,31,200,260,0.27139760733554635,8.3,
B,raw_l2,31,1000,1201,0.30658297447732746,34.8,
B,raw_l2,63,200,238,0.27526059194226504,9.5,
B,raw_l2,63,1000,1110,0.3150006777902913,45.6,
B,raw_q25,31,200,245,,12.2,0.10682392867097298
B,raw_q50,31,200,191,,10.5,0.1407145521246471
B,raw_q75,31,200,251,,12.3,0.12338258227542923
B,raw_q90,31,200,291,,13.8,0.07647120576034816
C,raw_l2,31,200,156,0.327717122230296,5.7,
C,raw_l2,31,1000,877,0.34371089132131427,24.9,
C,raw_l2,63,200,156,0.3301467969991136,6.9,
C,raw_l2,63,1000,871,0.3461046287092902,35.1,
C,raw_q25,31,200,371,,17.9,0.0960335641692679
C,raw_q50,31,200,166,,8.9,0.14189412742612015
C,raw_q75,31,200,333,,16.7,0.13666132812611811
C,raw_q90,31,200,241,,12.3,0.08635212541814935
