mechanism,model,n,MAE,WAPE,bias_mean(pred-y),rel_bias
A,seasonal naive (visible),45097,0.39475583468112757,0.41052120984553553,-0.08962113300081219,-0.09320033477640702
A,raw-sales LGBM L2,45097,0.32018768493208816,0.33297502974753634,-0.09606343980610486,-0.09989992817454181
A,raw-sales LGBM q50,45097,0.3187798099070864,0.3315109283770223,-0.1202717204137371,-0.12507501558358047
A,demand LGBM q50 (donor labels),45097,0.32063519928533085,0.3334404164944221,-0.0209997245796263,-0.0218383911863263
B,seasonal naive (visible),45097,0.41395437372538574,0.43048648149777596,-0.1386762167784898,-0.1442145328509037
B,raw-sales LGBM L2,45097,0.33514777923214306,0.34853258576548024,-0.1413588724081238,-0.1470043257758541
B,raw-sales LGBM q50,45097,0.3463395260839539,0.360171297734365,-0.18255195832948268,-0.18984254115870527
B,demand LGBM q50 (donor labels),45097,0.32323064461104023,0.33613951619502264,-0.020663747423371362,-0.021488996100683926
C,seasonal naive (visible),45097,0.4925679672461459,0.51223966837218,-0.30475132646444103,-0.31692218898619157
C,raw-sales LGBM L2,45097,0.40554507778170734,0.42174134325925794,-0.3050080190648296,-0.31718913312637137
C,raw-sales LGBM q50,45097,0.458410825810505,0.4767183921930677,-0.3997967304725201,-0.415763424037656
C,demand LGBM q50 (donor labels),45097,0.3228651325677611,0.3357594066867205,-0.020381905465499447,-0.02119589821240503
