mechanism,tau,raw-sales pinball,demand pinball,raw share<=q,demand share<=q
A,0.25,0.11922087022586167,0.11891970181654543,0.25314322460474087,0.28254651085438054
A,0.5,0.1593899049535432,0.16031759964266543,0.43936403751912545,0.5189480453245227
A,0.75,0.14305134254585836,0.13581826022435348,0.6462070647714926,0.7261902122092379
A,0.9,0.09455327804537614,0.0838557741252555,0.8084129764729361,0.8684834911413176
B,0.25,0.12547057076040402,0.11970006928450883,0.21349535445816795,0.28616094196953235
B,0.5,0.17316976304197695,0.16161532230552011,0.3748364636228574,0.5221411623833071
B,0.75,0.15530607199633514,0.1365435174930315,0.5991751114264807,0.7244384327117103
B,0.9,0.09909942053147809,0.08424206890394242,0.7934895891079229,0.8627181408962902
C,0.25,0.1484776787175512,0.12062190558728937,0.10987427101581036,0.2799964520921569
C,0.5,0.2292054129052525,0.16143256628388056,0.19688671086768522,0.5174623589152272
C,0.75,0.21103118815292396,0.13692465283315144,0.43175821008049314,0.72678892165776
C,0.9,0.12771216607084326,0.08480153798253116,0.7259019446969865,0.8581723839723263
