mechanism,tau,num_leaves,min_data_in_leaf,best_iter,tuning_pinball_proxy,sec,hit_round_cap
A,0.25,31,200,141,0.1189401251626413,4.6,False
A,0.25,31,1000,140,0.11944124434883159,4.1,False
A,0.25,63,200,143,0.11902484687065563,5.6,False
A,0.25,63,1000,138,0.11932279040149912,5.2,False
A,0.5,31,200,336,0.1603597189267545,8.2,False
A,0.5,31,1000,221,0.16413920010730512,5.7,False
A,0.5,63,200,306,0.1609780312920857,9.6,False
A,0.5,63,1000,112,0.1637776521933949,4.7,False
A,0.75,31,200,1982,0.13587759543256353,39.0,False
A,0.75,31,1000,571,0.14688301485110786,13.0,False
A,0.75,63,200,1987,0.13680455578857284,51.7,False
A,0.75,63,1000,1999,0.1462507733066201,54.3,True
A,0.9,31,200,362,0.0840846555015839,8.2,False
A,0.9,31,1000,1992,0.09446736675041402,40.3,False
A,0.9,63,200,360,0.08458367450939815,11.4,False
A,0.9,63,1000,283,0.09658275585878662,8.9,False
B,0.25,31,200,140,0.11974802958021652,4.4,False
B,0.25,31,1000,217,0.12012976027120686,5.6,False
B,0.25,63,200,140,0.11972494503202821,5.4,False
B,0.25,63,1000,136,0.11994343463504094,5.4,False
B,0.5,31,200,325,0.1616378221716111,7.9,False
B,0.5,31,1000,207,0.16452690670452672,5.7,False
B,0.5,63,200,268,0.16182371143824198,9.1,False
B,0.5,63,1000,119,0.1645915949389912,4.6,False
B,0.75,31,200,1757,0.13665492006632443,34.8,False
B,0.75,31,1000,1991,0.14620668231790834,40.1,False
B,0.75,63,200,1999,0.1368121782809845,51.8,True
B,0.75,63,1000,2000,0.14700129208484403,53.3,True
B,0.9,31,200,651,0.08448132472682403,13.9,False
B,0.9,31,1000,1999,0.09437963453269295,39.2,True
B,0.9,63,200,360,0.08564788405586603,10.8,False
B,0.9,63,1000,676,0.09680429211177793,19.1,False
C,0.25,31,200,241,0.12082415445594115,6.5,False
C,0.25,31,1000,288,0.12067247152353945,7.2,False
C,0.25,63,200,163,0.12091476435966847,6.1,False
C,0.25,63,1000,152,0.12086193736705404,5.4,False
C,0.5,31,200,636,0.16178780713836385,13.6,False
C,0.5,31,1000,300,0.1656912149448826,7.3,False
C,0.5,63,200,2000,0.16154801031569602,51.2,True
C,0.5,63,1000,227,0.1658345280433551,7.8,False
C,0.75,31,200,1989,0.13700071636033503,38.4,False
C,0.75,31,1000,1999,0.1472045621984245,40.4,True
C,0.75,63,200,1999,0.13787869338771333,51.6,True
C,0.75,63,1000,1986,0.14779557529416443,52.8,False
C,0.9,31,200,736,0.08515034863081869,14.8,False
C,0.9,31,1000,2000,0.09520582255574571,38.3,True
C,0.9,63,200,370,0.08663469453746787,10.8,False
C,0.9,63,1000,802,0.09757394286326543,21.9,False
