mechanism,group,tuning donors,series,pinball_q50,WAPE_q50,share<=q90,share<=q25
A,stockout_tier=high,13908,1645,0.2073668293328983,0.33214636973218536,0.860655737704918,0.2832901926948519
A,stockout_tier=low,15305,1634,0.13029061871413986,0.3310766851505671,0.8748121528912121,0.2819340084939562
A,stockout_tier=mid,15884,1684,0.1480538283369065,0.33709176196238755,0.8692394862754974,0.28248552002014604
A,sales_tier=high,14783,1649,0.25885634575055577,0.29120564880345107,0.8629506865994724,0.27247514036393156
A,sales_tier=low,14903,1659,0.10411286882686425,0.4298765506387032,0.8589545729047843,0.28182245185533117
A,sales_tier=mid,15411,1655,0.12014634661787414,0.3753922812706575,0.8830056453182792,0.29290766335734214
B,stockout_tier=high,13908,1645,0.21030094977575683,0.33684604834803544,0.8547598504457866,0.2848001150417026
B,stockout_tier=low,15305,1634,0.1309901871055321,0.33285433258477276,0.8698464554067298,0.28794511597517153
B,stockout_tier=mid,15884,1684,0.1484950747217732,0.33809640009302594,0.8628179299924452,0.2856333417275245
B,sales_tier=high,14783,1649,0.26304883461318557,0.29592207341264276,0.8609213285530677,0.2751809510924711
B,sales_tier=low,14903,1659,0.1037161948338377,0.42823870461859304,0.8498288935113736,0.2867207944709119
B,sales_tier=mid,15411,1655,0.12030580859883425,0.37589051362223236,0.8769061060281617,0.2961520991499578
C,stockout_tier=high,13908,1645,0.20581325756104835,0.3296579619873287,0.8490796663790624,0.28034224906528615
C,stockout_tier=low,15305,1634,0.1330778489758217,0.3381592131552394,0.8684743547860176,0.2816073178699771
C,stockout_tier=mid,15884,1684,0.1498940554627392,0.3412816259545995,0.8562075044069504,0.27814152606396375
C,sales_tier=high,14783,1649,0.25852219275294297,0.2908297366727775,0.8541568017317188,0.27423391733748226
C,sales_tier=low,14903,1659,0.10534411820503767,0.4349603144580003,0.84687646782527,0.27692410923975036
C,sales_tier=mid,15411,1655,0.1225389314533599,0.38286781344296045,0.8729478943611706,0.2884952306793849
