mechanism,tau,pinball,share proxy <= q,share proxy < q,n
A,0.25,0.11891970181654543,0.28254651085438054,0.28181475486174246,45097
A,0.5,0.16031759964266543,0.5189480453245227,0.5187484755083487,45097
A,0.75,0.13581826022435348,0.7261902122092379,0.7261902122092379,45097
A,0.9,0.0838557741252555,0.8684834911413176,0.8684834911413176,45097
B,0.25,0.11970006928450883,0.28616094196953235,0.2855178836729716,45097
B,0.5,0.16161532230552011,0.5221411623833071,0.5221189879592878,45097
B,0.75,0.1365435174930315,0.7244384327117103,0.7244384327117103,45097
B,0.9,0.08424206890394242,0.8627181408962902,0.8627181408962902,45097
C,0.25,0.12062190558728937,0.2799964520921569,0.27946426591569284,45097
C,0.5,0.16143256628388056,0.5174623589152272,0.5173736612191498,45097
C,0.75,0.13692465283315144,0.72678892165776,0.72678892165776,45097
C,0.9,0.08480153798253116,0.8581723839723263,0.8581723839723263,45097
