stockout_tier,period,source,partial_rate,mean_first,mean_dur,n_events,enough_support(>=200 events)
low,fit,real,0.3080579355365157,14.895669160982717,5.872690550294682,30202,True
low,fit,A,0.43279833374173,15.22689313517339,6.219674451521585,28260,True
low,fit,B,0.532069345748591,14.35731967071556,7.098698981060388,34742,True
low,fit,C,0.814904435187454,12.963766209359143,9.036233790640857,53210,True
low,tuning,real,0.34696042431660545,14.466721542803386,6.265169332079021,8504,True
low,tuning,A,0.4210388761842535,15.291278708876474,6.154407200496586,6444,True
low,tuning,B,0.5317216595883698,14.389530597198329,7.048660604571148,8138,True
low,tuning,C,0.8174452793204835,13.026936296059468,8.973063703940532,12511,True
mid,fit,real,0.41334322453016814,14.924190576467492,6.189356050635334,41789,True
mid,fit,A,0.45350546889008425,15.094575359797565,6.358730033212083,25292,True
mid,fit,B,0.561197776582392,14.188063135024603,7.2653524186849,31298,True
mid,fit,C,0.8210686749148287,12.909065100128846,9.090934899871154,45791,True
mid,tuning,real,0.3554896142433234,15.245409015025041,5.822148024485253,8985,True
mid,tuning,A,0.424767061193654,15.378093967689344,6.062398102860531,6747,True
mid,tuning,B,0.5389700327373458,14.424132694778647,7.020441537203598,8561,True
mid,tuning,C,0.8215185091916394,13.145068587631236,8.854931412368764,13049,True
high,fit,real,0.5082391433670435,14.141706170382943,6.86535572852656,51261,True
high,fit,A,0.5243574604929276,14.59795889032629,6.85180393847923,20871,True
high,fit,B,0.6156319875386277,13.859614756774404,7.6138181521384265,24504,True
high,fit,C,0.8465944778031806,12.494940202391904,9.505059797608096,33697,True
high,tuning,real,0.40705929010509617,14.715218238503507,6.208398285268901,10264,True
high,tuning,A,0.4669255104975554,15.222051124114568,6.262704034493378,6494,True
high,tuning,B,0.5831176301409261,14.264364981504317,7.219482120838471,8110,True
high,tuning,C,0.8422490652861663,12.883131295885265,9.116868704114735,11714,True
