variant,mechanism,encoder_length,learning_rate,epochs_run,tuning_WAPE_donors,seconds
direct,A,28,0.03,3,0.4595545103688107,82.8
direct,A,14,0.03,2,0.45269682174160003,60.6
direct,B,28,0.03,4,0.4589298458508538,110.4
direct,B,14,0.03,4,0.45141835591159124,118.7
direct,C,28,0.03,2,0.45705554209210636,57.8
direct,C,14,0.03,4,0.4532770911054908,120.1
recovered,A,28,0.03,3,0.4148658936120451,80.9
recovered,A,14,0.03,3,0.41403285781484706,90.8
recovered,B,28,0.03,3,0.4184495810259632,84.8
recovered,B,14,0.03,3,0.4125431071006646,90.8
recovered,C,28,0.03,3,0.41544998653668286,83.0
recovered,C,14,0.03,2,0.4235378709477627,62.6
