mechanism,hour,MAE,WAPE,n
A,6,0.548343403669803,0.9930628428246014,23.0
A,7,0.25510491157257104,0.9596803649464044,79.0
A,8,0.2271621338803642,0.8385409959852683,244.0
A,9,0.1908836979041996,0.7633059044413195,667.0
A,10,0.15484546408720404,0.7700802320657217,1207.0
A,11,0.10189029792616426,0.8146428850302921,1699.0
A,12,0.08626028087988896,0.9093448164670689,2140.0
A,13,0.07741178346649984,0.9244044313049913,2608.0
A,14,0.08366107482306553,0.9038984602669257,3224.0
A,15,0.09768471862509923,0.8689590821848909,4156.0
A,16,0.10450279925698107,0.8523718558412885,5349.0
A,17,0.08309629865296735,0.884681790236842,6324.0
A,18,0.06245001819663282,0.9552688247886347,7000.0
A,19,0.05246274943373776,1.0072541467628435,7525.0
A,20,0.0483304118054585,1.0471369011722467,7932.0
A,21,0.03845626325616739,1.2035951724586809,8272.0
B,6,0.42226339887234976,0.9882760271458556,44.0
B,7,0.21834302270747344,0.9398242961043513,198.0
B,8,0.19886848841672358,0.8310274643338377,575.0
B,9,0.1678348500714168,0.7758080198724685,1359.0
B,10,0.13446492527846823,0.7784632577120646,2292.0
B,11,0.09334046990311838,0.8329302576684262,3059.0
B,12,0.0780799585219539,0.935265999261146,3645.0
B,13,0.07180072720684424,0.9525904566137434,4276.0
B,14,0.07693243616482419,0.9230438564985113,5080.0
B,15,0.09157044401964445,0.8803430087545359,6199.0
B,16,0.09763013594731479,0.8671988061247261,7559.0
B,17,0.07817124028865068,0.8985031316748497,8578.0
B,18,0.058288680530322434,0.9579083159994769,9224.0
B,19,0.04821518038867103,1.0032543191829582,9680.0
B,20,0.046021007576105326,1.073397370452549,10076.0
B,21,0.03419766147726749,1.1593922849455813,10381.0
C,6,0.292176864906064,0.9791873142765741,124.0
C,7,0.18061254969680351,0.912950279807647,554.0
C,8,0.17179966288482398,0.8477159338540321,1653.0
C,9,0.15367587406943675,0.8028579190154175,3423.0
C,10,0.12330205225443933,0.8024253419086501,5380.0
C,11,0.08605702023827572,0.8438152935189339,6950.0
C,12,0.06930726092308301,0.9372795102351468,8129.0
C,13,0.06530231721404962,0.9610118375361807,9261.0
C,14,0.06914341566241315,0.9209210145978459,10530.0
C,15,0.08132396697504152,0.8736086231161401,12040.0
C,16,0.08681917630251686,0.8546487836669451,13631.0
C,17,0.0719293693206495,0.9202774310851563,14602.0
C,18,0.05557040745865364,1.0080655596597181,15264.0
C,19,0.04703487279866755,1.0894576700611136,15781.0
C,20,0.04027737883691489,1.0954303649027848,16098.0
C,21,0.03617497282779859,1.4637889597739928,16303.0
