mechanism,severity,MAE,WAPE,n
A,1-4 h,0.08847012038983575,0.889528535647186,7684.0
A,5-8 h,0.07105866902520537,0.912589428628506,22669.0
A,9-15 h,0.06987896892248253,0.9301835525664751,27776.0
A,16 h,0.07501374333078274,1.0635532741697935,320.0
B,1-4 h,0.08817161513017187,0.8997592764721164,7505.0
B,5-8 h,0.06958948880274697,0.9111866271029888,26723.0
B,9-15 h,0.06793927549542099,0.9254258280936192,47357.0
B,16 h,0.06393148548886529,1.0526408539789278,640.0
C,1-4 h,0.0711394091644401,0.9670291333251103,5038.0
C,5-8 h,0.06596366822642359,0.9431782338358016,35123.0
C,9-15 h,0.06835617355896062,0.9281324493115191,107578.0
C,16 h,0.05880251175453703,1.084441172854889,1984.0
