mechanism,level,pool,observations,exact events,series assigned,max observed Z,survival floor (unidentified mass),q0.90 estimable
A,category,0,983,579,2,1.4761457443237305,0.13037187410913434,False
A,category,14,668,348,3,1.3000000268220901,0.0,True
A,category,15,1979,1223,2,1.5481124892830849,0.04051590890535699,True
A,category,22,1013,497,4,2.313180521130562,0.06394890109058941,True
A,category,23,708,411,2,2.0489927232265472,0.20815238511069487,False
A,category,27,603,340,4,1.200000025331974,0.0,True
A,category,3,369,201,2,0.8928660377860069,0.16336548939231307,False
A,category,30,1991,1156,7,4.706680389121175,0.015237733443880838,True
A,category,7,3389,2085,5,2.1000000536441803,0.0,True
A,category_x_sales_tier,0|low,701,434,26,0.8307211957871914,0.01505757974975234,True
A,category_x_sales_tier,0|mid,249,128,10,1.140828613191843,0.23969576632959322,False
A,category_x_sales_tier,10|high,2582,1328,78,5.817447729408741,0.0389410091514706,True
A,category_x_sales_tier,10|low,2982,1470,97,1.300000011920929,0.0,True
A,category_x_sales_tier,10|mid,3466,1651,109,2.139270544052124,0.09981065695633176,True
A,category_x_sales_tier,11|high,647,359,18,5.244209818542004,0.0381715088357769,True
A,category_x_sales_tier,11|low,652,340,21,1.0000000223517418,0.0,True
A,category_x_sales_tier,11|mid,419,210,12,1.6000000163912773,0.0,True
A,category_x_sales_tier,14|low,566,291,17,0.928363835439086,0.19846249093477522,False
A,category_x_sales_tier,15|low,1427,910,49,0.955749124288559,0.04420551211803927,True
A,category_x_sales_tier,15|mid,490,275,17,1.2108974317088723,0.19173809465549355,False
A,category_x_sales_tier,16|high,4367,2553,168,3.4758363887667656,0.03865909167747167,True
A,category_x_sales_tier,16|low,6010,3814,228,1.0963092148303986,0.059768876678283546,True
A,category_x_sales_tier,16|mid,8390,5247,312,1.9000000208616257,0.0,True
A,category_x_sales_tier,18|high,609,337,19,2.6000000536441803,0.0,True
A,category_x_sales_tier,18|low,4493,2706,141,0.8246524967253208,0.0549355639306125,True
A,category_x_sales_tier,18|mid,2454,1408,76,1.2861716654151678,0.052100236315466786,True
A,category_x_sales_tier,20|high,7050,3118,256,12.494830280542374,0.04424122457359258,True
A,category_x_sales_tier,20|low,3922,1964,145,1.1252686344087124,0.1054190381743921,False
A,category_x_sales_tier,20|mid,4525,2100,153,2.351829022169113,0.03707631678180145,True
A,category_x_sales_tier,21|high,2032,945,77,29.900000154972076,0.0,True
A,category_x_sales_tier,21|low,3188,1780,117,1.1277337577193975,0.025599397672730076,True
A,category_x_sales_tier,21|mid,2348,1277,85,1.878861352801323,0.13115366882809545,False
