mechanism,tau,eta,d,date,alpha,shift,n_exact_donors,miss_rate
A,0.25,0.05,75,2024-06-11,0.75,-0.003653751880431766,3099,0.7318489835430784
A,0.25,0.05,76,2024-06-12,0.7509075508228461,-0.0045161956793473715,3182,0.72438717787555
A,0.25,0.05,77,2024-06-13,0.7521881919290686,-0.005443781140060571,3178,0.6812460667086218
A,0.25,0.05,78,2024-06-14,0.7556258885936376,-0.008132183539928678,3164,0.7348293299620733
A,0.25,0.05,79,2024-06-15,0.7563844220955339,-0.008748441816120878,2665,0.7677298311444652
A,0.25,0.05,80,2024-06-16,0.7554979305383106,-0.00798881947793659,2378,0.7253994953742641
A,0.25,0.05,81,2024-06-17,0.7567279557695974,-0.009213894115178853,2586,0.7107501933488012
A,0.25,0.05,82,2024-06-18,0.7586904461021573,-0.010597177031393817,2677,0.7728800896525961
A,0.25,0.05,83,2024-06-19,0.7575464416195274,-0.009840921021449777,2723,0.7994858611825193
A,0.25,0.05,84,2024-06-20,0.7550721485604015,-0.007715699763038255,2986,0.7916945746818487
A,0.25,0.05,85,2024-06-21,0.7529874198263091,-0.006078462181989074,3140,0.8111464968152866
A,0.25,0.05,86,2024-06-22,0.7499300949855447,-0.0036180308527138357,2974,0.7817753866845999
A,0.25,0.05,87,2024-06-23,0.7483413256513147,-0.002169558104078054,2527,0.77997625643055
A,0.25,0.05,88,2024-06-24,0.7468425128297872,-0.0007375546402610306,2789,0.6862674793832915
A,0.25,0.05,89,2024-06-25,0.7500291388606226,-0.0036654700560818905,2705,0.789279112754159
A,0.5,0.05,75,2024-06-11,0.5,0.01939638505805752,3099,0.4898354307841239
A,0.5,0.05,76,2024-06-12,0.5005082284607938,0.019075928840988306,3182,0.4594594594594595
A,0.5,0.05,77,2024-06-13,0.5025352554878209,0.017644260939129554,3178,0.4090623033354311
A,0.5,0.05,78,2024-06-14,0.5070821403210493,0.014399906127397707,3164,0.4481668773704172
A,0.5,0.05,79,2024-06-15,0.5096737964525284,0.012433862115659751,2665,0.5155722326454034
A,0.5,0.05,80,2024-06-16,0.5088951848202582,0.01314552638575488,2378,0.4541631623212784
A,0.5,0.05,81,2024-06-17,0.5111870267041942,0.01106280970054494,2586,0.45591647331786544
