mechanism,quantile,n,mean correction,median correction,coverage before,coverage after,fallback share,median pool size,nominal
A,q25,42773.0,-0.000550310347960109,0.0023365968295102624,0.25457648516587567,0.25123325462324364,0.061183456853622614,1213.0,0.25
A,q50,42773.0,0.020260006790695725,0.028528063834164286,0.4749257709302597,0.4995441049260047,0.061183456853622614,1213.0,0.5
A,q75,42773.0,0.08518929378023748,0.07588110881716725,0.679517452598602,0.7499357071049494,0.061183456853622614,1213.0,0.75
A,q90,42773.0,0.14478398846711815,0.08401225236483822,0.8419563743483038,0.9004745984616463,0.061183456853622614,1213.0,0.9
B,q25,42773.0,-0.0023295429391447862,0.0028996182866240505,0.25852757580716806,0.25135015079606293,0.061183456853622614,1213.0,0.25
B,q50,42773.0,0.019675640670035643,0.026063010175175316,0.47670259275711313,0.4994505879877493,0.061183456853622614,1213.0,0.5
B,q75,42773.0,0.09308029614591122,0.0724387134852355,0.6745142964019358,0.749842190166694,0.061183456853622614,1213.0,0.75
B,q90,42773.0,0.17408157826548049,0.12469971355076837,0.8265962172398476,0.9004512192270825,0.061183456853622614,1213.0,0.9
C,q25,42773.0,0.0022553758176081426,0.010002852043709876,0.2503682229443808,0.2510929792158605,0.061183456853622614,1213.0,0.25
C,q50,42773.0,0.0311822470760829,0.04177613057081703,0.46307249900638253,0.49963762186426014,0.061183456853622614,1213.0,0.5
C,q75,42773.0,0.10956932633550776,0.07505125149706948,0.6665185981810956,0.7499123278703855,0.061183456853622614,1213.0,0.75
C,q90,42773.0,0.19977955936720532,0.12968963521324017,0.8192083791176676,0.900357702288827,0.061183456853622614,1213.0,0.9
