mechanism,quantile,sales_tier,correction
A,q25,high,0.01580238038258325
A,q25,low,-0.010131299525845537
A,q25,mid,-0.006325124142842393
A,q50,high,0.04378543710254423
A,q50,low,0.00642122717851232
A,q50,mid,0.012008075586652471
A,q75,high,0.14476648512017223
A,q75,low,0.06220419845453007
A,q75,mid,0.05210639740110847
A,q90,high,0.27428291850999464
A,q90,low,0.08334940992161913
A,q90,mid,0.08446546724593543
B,q25,high,0.017010825848234525
B,q25,low,-0.011977891875019863
B,q25,mid,-0.010859868796493564
B,q50,high,0.04544310703395425
B,q50,low,0.0057989466260935625
B,q50,mid,0.009343132923531287
B,q75,high,0.1648057971048845
B,q75,low,0.06346085094349666
B,q75,mid,0.055219045930535594
B,q90,high,0.31919317143001796
B,q90,low,0.10877655646471811
B,q90,mid,0.1029182850620123
C,q25,high,0.01434541735746969
C,q25,low,-0.0051662754468428515
C,q25,mid,-0.001672503916615848
C,q50,high,0.059845384812540474
C,q50,low,0.019286809561673727
C,q50,mid,0.0161114731782334
C,q75,high,0.2061952811418752
C,q75,low,0.06685135480856359
C,q75,mid,0.06140877702475558
C,q90,high,0.3755825928442802
C,q90,low,0.12197720642497448
C,q90,mid,0.11223669422672772
