mechanism,quantile,pool_level,rows,median_pool
A,q25,category,2137,457.0
A,q25,category_x_sales_tier,40156,1213.0
A,q25,management_group,480,940.0
A,q50,category,2137,457.0
A,q50,category_x_sales_tier,40156,1213.0
A,q50,management_group,480,940.0
A,q75,category,2137,457.0
A,q75,category_x_sales_tier,40156,1213.0
A,q75,management_group,480,940.0
A,q90,category,2137,457.0
A,q90,category_x_sales_tier,40156,1213.0
A,q90,management_group,480,940.0
B,q25,category,2137,457.0
B,q25,category_x_sales_tier,40156,1213.0
B,q25,management_group,480,940.0
B,q50,category,2137,457.0
B,q50,category_x_sales_tier,40156,1213.0
B,q50,management_group,480,940.0
B,q75,category,2137,457.0
B,q75,category_x_sales_tier,40156,1213.0
B,q75,management_group,480,940.0
B,q90,category,2137,457.0
B,q90,category_x_sales_tier,40156,1213.0
B,q90,management_group,480,940.0
C,q25,category,2137,457.0
C,q25,category_x_sales_tier,40156,1213.0
C,q25,management_group,480,940.0
C,q50,category,2137,457.0
C,q50,category_x_sales_tier,40156,1213.0
C,q50,management_group,480,940.0
C,q75,category,2137,457.0
C,q75,category_x_sales_tier,40156,1213.0
C,q75,management_group,480,940.0
C,q90,category,2137,457.0
C,q90,category_x_sales_tier,40156,1213.0
C,q90,management_group,480,940.0
