scenario,beta,policy,unsupported share,n,mean cost,median cost,total shortage,total leftover,fill rate,leftover share,cycle service,mean order,median order
excess stock more costly,0.25,Kaplan-Meier order percentile,0.0,45097,0.6594222566852573,0.3999999985098839,22475.265359614044,2420.9000500403345,0.4817202767138313,0.10385332812740738,0.30072953855023615,0.5169026856045397,0.4000000059604645
excess stock more costly,0.25,TFT (direct) + residual quantile,0.8801028893274497,5407,0.5913025219444995,0.39188506454229355,2185.6333816881233,337.1797848219285,0.573376794424223,0.10296677391495775,0.2641020898834844,0.6056309395851471,0.3700733035802841
excess stock more costly,0.25,TimesNet->TFT + residual quantile,0.8801028893274497,5407,0.5691701891210231,0.384864404797554,2005.6179138621737,357.29509957173286,0.6085147899272988,0.10282532418897722,0.2681708895875717,0.6426442154452828,0.39468711614608765
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),0.0,45097,0.47544297216381,0.3023892241290902,14418.85877392329,2340.7309805826835,0.6675010498928481,0.07481481559524973,0.28008514978823423,0.6937711583684288,0.44142002515450274
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),0.0,45097,0.4756788072661817,0.30247242693290155,14357.134562880621,2364.850869467459,0.6689244104853658,0.07537891745004754,0.28254651085438054,0.6956747018397781,0.4433262952404661
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,0.0,45097,0.47589584616445485,0.3036615739718741,14386.566375546983,2358.3028663104787,0.6682457127489668,0.07525650941940025,0.28019602190833093,0.6948768701475737,0.43529214309892444
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,0.0,45097,0.4700001783278677,0.30489068061382363,13770.21731545197,2475.1269088666268,0.6824587249293588,0.07717880209677244,0.27454154378340023,0.7111345614053327,0.42316270471161777
excess stock more costly,0.25,raw-sales quantile LightGBM,0.0,45097,0.4768834809034467,0.3119504012319008,15903.868795521352,1867.381847593795,0.6332567119170207,0.0636709348142913,0.25314322460474087,0.6503456720924691,0.41000114575212554
excess stock more costly,0.25,seasonal_naive + residual quantile,0.0,45097,0.6132142041856355,0.3976297751069069,15237.942705745916,4138.726086804564,0.6486129706314574,0.12826931587605905,0.3105306339667827,0.715477949826824,0.4000000134110451
equal costs,0.5,Kaplan-Meier order percentile,0.0,45097,0.5142254556877429,0.30000000447034836,12821.675194732845,10368.3501804173,0.7043321106262842,0.2534317727647329,0.564228219172007,0.9071956162930148,0.6000000089406967
equal costs,0.5,TFT (direct) + residual quantile,0.8801028893274497,5407,0.4102031314141567,0.2755458205938339,1136.4184525892924,1081.5498789670528,0.7781775812992733,0.21339788367380794,0.5468836693175513,0.9373463128501657,0.6352954655885696
equal costs,0.5,TimesNet->TFT + residual quantile,0.8801028893274497,5407,0.37793308777861945,0.25934751331806183,1039.7799362471997,1003.7042693717958,0.7970408700691891,0.1973067527179557,0.5411503606436101,0.9408219752779141,0.6477663815021515
equal costs,0.5,demand-quantile + adaptive calibration (sensitivity),0.0,45097,0.3222090941345445,0.20705111999947678,7229.443310241129,7301.220207944424,0.8332890037829054,0.16808795672703417,0.5502361576158059,0.963188296782157,0.6458552465200551
equal costs,0.5,demand-quantile LightGBM (uncalibrated),0.0,45097,0.32063519928533085,0.20436244930736458,7703.355080768986,6756.330501401579,0.8223605961596258,0.1592794189121829,0.5189480453245227,0.9405969608380651,0.6232639105759634
equal costs,0.5,demand-quantile LightGBM + pooled conformal,0.0,45097,0.32352283924266495,0.20865242163947884,7326.783939955061,7263.125541371402,0.8310443284108722,0.16773393582892393,0.5440716677384305,0.9601850970951055,0.6314976108001303
equal costs,0.5,raw-sales LightGBM + residual quantile,0.0,45097,0.31530159287138904,0.20945589026627032,7550.75254785731,6668.403385863719,0.8258796112753428,0.1569672212078811,0.5363327937556822,0.9420311009665399,0.6113688016789578
equal costs,0.5,raw-sales quantile LightGBM,0.0,45097,0.3187781899761135,0.20080019307439995,9898.974439449235,4476.9655939035565,0.7717296035795187,0.11799150840579774,0.43947490963922214,0.8413667622399706,0.5497303969104563
equal costs,0.5,seasonal_naive + residual quantile,0.0,45097,0.39525038258479445,0.2788306213915348,8251.688088156478,9572.918415269996,0.8097160344696835,0.21422463726262078,0.5685522318557775,0.9908942069183128,0.6875138506293297
