train_mech,test_hist,tau,calibration,n,pinball,coverage,miss rate,WAPE,bias %
A,A,0.25,uncalibrated,20641,0.1453883050914003,0.2523618041761543,0.7476381958238457,,
A,A,0.25,pooled conformal,20641,0.14416000992574882,0.24664502688823217,0.7533549731117678,,
A,A,0.5,uncalibrated,20641,0.19731585546180186,0.4539024272079841,0.5460975727920159,,
A,A,0.5,pooled conformal,20641,0.1945528914138517,0.4740080422460152,0.5259919577539848,,
A,A,0.75,uncalibrated,20641,0.17880984026711835,0.6515672690276634,0.3484327309723366,,
A,A,0.75,pooled conformal,20641,0.17077229927064708,0.7158567898842111,0.28414321011578897,,
A,A,0.9,uncalibrated,20641,0.11874314303111466,0.8282544450365776,0.1717455549634223,,
A,A,0.9,pooled conformal,20641,0.10887585029718642,0.8867787413400513,0.11322125865994864,,
A,A,median,uncalibrated,20641,,,,33.95279376089798,-13.209123015796292
A,A,median,pooled conformal,20641,,,,33.47736137220691,-11.442229227643585
A,B,0.25,uncalibrated,20641,0.1472644220698425,0.23787607189574148,0.7621239281042586,,
A,B,0.25,pooled conformal,20641,0.14601452190305048,0.23099656024417423,0.7690034397558257,,
A,B,0.5,uncalibrated,20641,0.20119122040504564,0.4303570563441694,0.5696429436558307,,
A,B,0.5,pooled conformal,20641,0.1975513245078305,0.4501235405261373,0.5498764594738627,,
A,B,0.75,uncalibrated,20641,0.18347417221808454,0.628700159875975,0.371299840124025,,
A,B,0.75,pooled conformal,20641,0.17329997754705373,0.6976890654522552,0.30231093454774477,,
A,B,0.9,uncalibrated,20641,0.1228662134600198,0.812121505741001,0.18787849425899908,,
A,B,0.9,pooled conformal,20641,0.11012940039006214,0.8739886633399545,0.12601133666004555,,
A,B,median,uncalibrated,20641,,,,34.61964066155996,-15.482586769063124
A,B,median,pooled conformal,20641,,,,33.993311700716724,-13.702444078657877
A,C,0.25,uncalibrated,20641,0.15365452262386986,0.20318783004699384,0.7968121699530062,,
A,C,0.25,pooled conformal,20641,0.15254604750388331,0.1938375078726806,0.8061624921273194,,
A,C,0.5,uncalibrated,20641,0.21467448810365664,0.381570660336224,0.618429339663776,,
A,C,0.5,pooled conformal,20641,0.20973870000235323,0.40022285741969865,0.5997771425803013,,
A,C,0.75,uncalibrated,20641,0.19715595629201563,0.5829659415725982,0.41703405842740177,,
A,C,0.75,pooled conformal,20641,0.18258388096701939,0.6535051596337387,0.3464948403662613,,
A,C,0.9,uncalibrated,20641,0.1356475795349951,0.7794680490286323,0.22053195097136766,,
A,C,0.9,pooled conformal,20641,0.11757809831481206,0.8482147182791532,0.15178528172084685,,
A,C,median,uncalibrated,20641,,,,36.939751259476616,-21.515126016462073
A,C,median,pooled conformal,20641,,,,36.090433828503656,-19.689090837310076
B,A,0.25,uncalibrated,20641,0.14619722869467874,0.26839784894142726,0.7316021510585727,,
B,A,0.25,pooled conformal,20641,0.14479777298624816,0.2599195775398479,0.7400804224601522,,
B,A,0.5,uncalibrated,20641,0.19957776207077627,0.47875587423089966,0.5212441257691003,,
B,A,0.5,pooled conformal,20641,0.19697368196741705,0.4960999951552735,0.5039000048447265,,
B,A,0.75,uncalibrated,20641,0.17962174093748373,0.6691536262777966,0.3308463737222034,,
B,A,0.75,pooled conformal,20641,0.1727105129651162,0.7354294850055715,0.2645705149944286,,
B,A,0.9,uncalibrated,20641,0.11964753271096679,0.8262681071653505,0.1737318928346495,,
B,A,0.9,pooled conformal,20641,0.10946444147845878,0.8954992490673901,0.10450075093260985,,
B,A,median,uncalibrated,20641,,,,34.34200753401915,-11.59953118450847
B,A,median,pooled conformal,20641,,,,33.89391483270388,-9.9061967160126
B,B,0.25,uncalibrated,20641,0.14714150470819407,0.25371832760040697,0.7462816723995931,,
B,B,0.25,pooled conformal,20641,0.1456349675479406,0.2440773218351824,0.7559226781648176,,
B,B,0.5,uncalibrated,20641,0.20202314586435766,0.45651857952618574,0.5434814204738142,,
B,B,0.5,pooled conformal,20641,0.1983427360471727,0.4726999660869144,0.5273000339130856,,
B,B,0.75,uncalibrated,20641,0.18287312004094727,0.6481275132018798,0.3518724867981202,,
B,B,0.75,pooled conformal,20641,0.1735080628529308,0.7189089675887796,0.2810910324112204,,
B,B,0.9,uncalibrated,20641,0.12329224382260137,0.81003827333947,0.18996172666053002,,
B,B,0.9,pooled conformal,20641,0.10981184286477874,0.8835327745748752,0.11646722542512475,,
B,B,median,uncalibrated,20641,,,,34.76279283490332,-13.794647821285656
B,B,median,pooled conformal,20641,,,,34.12949250946315,-12.094609989315112
