subgroup type,subgroup,mechanism,n,coverage q90 (conformal),WAPE median,mean cost (equal costs)
calibration pool level,calibration pool level=category,A,1060,0.8632075471698113,35.4535363872481,0.29632467451057276
calibration pool level,calibration pool level=category,B,1060,0.8641509433962264,36.582558812330404,0.30576117316827633
calibration pool level,calibration pool level=category,C,1060,0.870754716981132,38.430325518102684,0.3212050163556101
calibration pool level,calibration pool level=category_x_sales_tier,A,19361,0.8882289137957751,33.34857042807323,0.3958625050477503
calibration pool level,calibration pool level=category_x_sales_tier,B,19361,0.8845100976189246,33.987551053163905,0.4034474920911725
calibration pool level,calibration pool level=category_x_sales_tier,C,19361,0.8799648778472187,35.05717761531849,0.41614443935506995
calibration pool level,calibration pool level=management_group,A,220,0.8727272727272727,43.33959531221672,0.24151974834332413
calibration pool level,calibration pool level=management_group,B,220,0.8909090909090909,43.01067757996333,0.23968677954240278
calibration pool level,calibration pool level=management_group,C,220,0.8636363636363636,43.1142638362154,0.24026403782719916
city_id,city_id=0,A,10585,0.8909777987718469,29.63756522488757,0.3521766271121029
city_id,city_id=0,B,10585,0.8879546528105811,30.068876583521774,0.35730180472835465
city_id,city_id=0,C,10585,0.8800188946622579,31.95806481463362,0.3797506095620684
city_id,city_id=11,A,759,0.8629776021080369,44.13124778937927,0.7341887266553045
city_id,city_id=11,B,759,0.855072463768116,45.35767908793686,0.7545922287790122
city_id,city_id=11,C,759,0.8590250329380764,44.320264591353286,0.7373333006253041
city_id,city_id=12,A,2166,0.8850415512465374,32.54329935050987,0.34347304420774444
city_id,city_id=12,B,2166,0.8822714681440443,33.46158048055176,0.3531648967181189
city_id,city_id=12,C,2166,0.8785780240073869,35.56255554405219,0.37533930077502164
city_id,city_id=13,A,881,0.9228149829738933,32.90100416974117,0.28186189607589185
city_id,city_id=13,B,881,0.9171396140749148,33.30653208375738,0.2853360428032439
city_id,city_id=13,C,881,0.9284903518728718,33.89679633427189,0.29039281877931145
city_id,city_id=15,A,319,0.8746081504702194,40.75416846713654,0.5141413141170452
city_id,city_id=15,B,319,0.8840125391849529,41.60001424961315,0.5248122220175767
city_id,city_id=15,C,319,0.877742946708464,38.07905679231459,0.4803929745940766
city_id,city_id=16,A,1978,0.8554095045500506,33.89819070060664,0.3843379671627955
city_id,city_id=16,B,1978,0.8564206268958544,34.78200780583715,0.39435869184886724
city_id,city_id=16,C,1978,0.8559150657229525,35.697449584696976,0.4047379793619965
city_id,city_id=3,A,1061,0.9170593779453345,40.61767394991942,0.32103965040445537
city_id,city_id=3,B,1061,0.9123468426013195,41.933232489584995,0.3314377456869663
city_id,city_id=3,C,1061,0.9189443920829407,41.99973674746232,0.33196339226247956
city_id,city_id=4,A,401,0.8104738154613467,52.63788192538685,1.1516275978426536
city_id,city_id=4,B,401,0.8104738154613467,53.71657938462584,1.1752276697713984
city_id,city_id=4,C,401,0.8179551122194514,50.01361210149362,1.094213031250937
city_id,city_id=5,A,271,0.8302583025830258,36.44568375475321,0.353805557951826
city_id,city_id=5,B,271,0.8118081180811808,37.657930403218856,0.3655737468704746
city_id,city_id=5,C,271,0.8302583025830258,38.27116999415954,0.3715269175870172
city_id,city_id=6,A,1188,0.8880471380471381,33.8196578503753,0.37347948403796966
city_id,city_id=6,B,1188,0.8855218855218855,34.44812233744791,0.3804197842098446
city_id,city_id=6,C,1188,0.8653198653198653,36.92249764050105,0.4077449689057941
city_id,city_id=7,A,229,0.9301310043668122,32.65154609007664,0.2921244040391851
city_id,city_id=7,B,229,0.9213973799126638,33.42291778248662,0.2990256572329321
city_id,city_id=7,C,229,0.9082969432314411,34.21392662433693,0.3061025960281426
city_id,city_id=low support (<200 rows),A,803,0.9093176742872834,41.227508948015625,0.4810474907021049
city_id,city_id=low support (<200 rows),B,803,0.9010551138201615,42.41852784040453,0.49189788131832274
city_id,city_id=low support (<200 rows),C,803,0.9061998278606207,42.177517187340364,0.4717222618750457
complete-day support,complete-day support=11-25,A,3043,0.8593493263227079,29.579335207069764,0.5317729803507966
complete-day support,complete-day support=11-25,B,3043,0.848176141965166,30.805444330211948,0.553815790151212
complete-day support,complete-day support=11-25,C,3043,0.8307591192901742,33.04182102209659,0.5940210452016211
complete-day support,complete-day support=26-40,A,12707,0.8954906744314157,31.039834789092602,0.3122156747876135
complete-day support,complete-day support=26-40,B,12707,0.8924214999606516,31.409572098299595,0.3159346955137884
complete-day support,complete-day support=26-40,C,12707,0.8909262611159203,32.7484090961477,0.3294014513880739
complete-day support,complete-day support=41-60,A,4359,0.8958476714842853,38.49102619436861,0.30969770684501574
complete-day support,complete-day support=41-60,B,4359,0.8963064923147511,38.616722270070106,0.3107090542550889
complete-day support,complete-day support=41-60,C,4359,0.894930029823354,39.98220850424893,0.32169571740458347
complete-day support,complete-day support=<=10 donor days,A,532,0.7612781954887218,49.11414409381113,2.0602451070961085
complete-day support,complete-day support=<=10 donor days,B,532,0.768796992481203,50.803935109525064,2.131128640250212
complete-day support,complete-day support=<=10 donor days,C,532,0.7518796992481203,47.262392014259596,1.9825676325358506
first_category_id,first_category_id=10,A,1153,0.8811795316565482,35.86378072510537,0.28042802004933565
first_category_id,first_category_id=10,B,1153,0.8673026886383348,35.9529956415305,0.2811256149769191
first_category_id,first_category_id=10,C,1153,0.8673026886383348,37.144141892179334,0.2904394895633148
first_category_id,first_category_id=11,A,206,0.8883495145631068,38.55346594875968,0.24853884956790406
first_category_id,first_category_id=11,B,206,0.883495145631068,38.24165747258266,0.24652874701231428
first_category_id,first_category_id=11,C,206,0.9320388349514563,39.079841117127415,0.2519321836603498
first_category_id,first_category_id=15,A,292,0.9383561643835616,39.091608510734204,0.15544269693224397
first_category_id,first_category_id=15,B,292,0.9691780821917808,39.466462069063574,0.15693325342687026
first_category_id,first_category_id=15,C,292,0.958904109589041,40.6160062732209,0.16150426605958745
first_category_id,first_category_id=16,A,2957,0.8938112952316537,33.75610170131935,0.21999001407622285
