scenario,beta,policy,train_mech,test_hist,matched mean cost,unseen mean cost,cost transfer gap,fill-rate change,leftover-share change
excess stock more costly,0.25,Kaplan-Meier order percentile,A,B,0.840409391939526,0.840409391939526,0.0,0.0,0.0
excess stock more costly,0.25,Kaplan-Meier order percentile,A,C,0.840409391939526,0.840409391939526,0.0,0.0,0.0
excess stock more costly,0.25,Kaplan-Meier order percentile,B,A,0.8373039224579895,0.8373039224579895,0.0,0.0,0.0
excess stock more costly,0.25,Kaplan-Meier order percentile,B,C,0.8373039224579895,0.8373039224579895,0.0,0.0,0.0
excess stock more costly,0.25,Kaplan-Meier order percentile,C,A,1.255047399127921,1.255047399127921,0.0,0.0,0.0
excess stock more costly,0.25,Kaplan-Meier order percentile,C,B,1.255047399127921,1.255047399127921,0.0,0.0,0.0
excess stock more costly,0.25,TFT (direct) + residual quantile,A,B,0.6891567981709166,0.6891568628306765,6.465975987968164e-08,-1.026140498128214e-07,-8.103287860161679e-09
excess stock more costly,0.25,TFT (direct) + residual quantile,A,C,0.6891567981709166,0.6891569872256887,1.8905477217057154e-07,-5.126916906572632e-07,-1.0950862701364361e-07
excess stock more costly,0.25,TFT (direct) + residual quantile,B,A,0.7223144332488695,0.7223144296809022,-3.567967254980431e-09,2.013492372832104e-09,-1.0519462800839818e-09
excess stock more costly,0.25,TFT (direct) + residual quantile,B,C,0.7223144332488695,0.7223144384256872,5.176817752250429e-09,-4.882856452503859e-09,8.326832279248464e-10
excess stock more costly,0.25,TFT (direct) + residual quantile,C,A,0.6874028803847463,0.6874028540516932,-2.6333053071425638e-08,2.2892161166687686e-07,7.891093455059117e-08
excess stock more costly,0.25,TFT (direct) + residual quantile,C,B,0.6874028803847463,0.6874028982179039,1.783315761727522e-08,1.7393461382297914e-07,7.942174286290626e-08
excess stock more costly,0.25,TimesNet->TFT + residual quantile,A,B,0.6585527906557953,0.6585527673779256,-2.3277869742877044e-08,5.189543661465734e-08,8.851738272919185e-09
excess stock more costly,0.25,TimesNet->TFT + residual quantile,A,C,0.6585527906557953,0.6585528447778813,5.412208603505775e-08,1.389172641363956e-07,8.071540667786703e-08
excess stock more costly,0.25,TimesNet->TFT + residual quantile,B,A,0.6598103946245524,0.6598109312741405,5.36649588100957e-07,-8.143562040263674e-07,-5.715359077673732e-08
excess stock more costly,0.25,TimesNet->TFT + residual quantile,B,C,0.6598103946245524,0.6598098637335804,-5.308909719614618e-07,2.638344462790876e-06,7.827018605327529e-07
excess stock more costly,0.25,TimesNet->TFT + residual quantile,C,A,0.6603881202652991,0.6603881204567582,1.9145907081963287e-10,-2.2058029391924805e-07,-8.53541999995544e-08
excess stock more costly,0.25,TimesNet->TFT + residual quantile,C,B,0.6603881202652991,0.6603881101788159,-1.0086483204219121e-08,-1.6524354085056814e-07,-6.893839993304951e-08
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),A,B,0.5815452871750819,0.5891607168642331,0.0076154296891511875,-0.01728915553860777,-0.0037764359637388056
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),A,C,0.5815452871750819,0.6149845895523742,0.03343930237729231,-0.06563001231402743,-0.013624233618302097
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),B,A,0.5885516772585238,0.5844766402466486,-0.004075037011875171,0.015400164418012063,0.004297368971166553
