train_mech,test_hist,tau,calibration,coverage matched,coverage unseen,coverage change,pinball change
A,B,0.25,pooled conformal,0.24664502688823217,0.23099656024417423,-0.015648466644057946,0.0018545119773016594
A,B,0.25,uncalibrated,0.2523618041761543,0.23787607189574148,-0.014485732280412805,0.0018761169784421994
A,B,0.5,pooled conformal,0.4740080422460152,0.4501235405261373,-0.023884501719877937,0.0029984330939787918
A,B,0.5,uncalibrated,0.4539024272079841,0.4303570563441694,-0.023545370863814752,0.003875364943243781
A,B,0.75,pooled conformal,0.7158567898842111,0.6976890654522552,-0.01816772443195591,0.002527678276406653
A,B,0.75,uncalibrated,0.6515672690276634,0.628700159875975,-0.022867109151688325,0.0046643319509661885
A,B,0.9,pooled conformal,0.8867787413400513,0.8739886633399545,-0.012790078000096794,0.0012535500928757132
A,B,0.9,uncalibrated,0.8282544450365776,0.812121505741001,-0.016132939295576687,0.00412307042890514
A,C,0.25,pooled conformal,0.24664502688823217,0.1938375078726806,-0.052807519015551585,0.008386037578134498
A,C,0.25,uncalibrated,0.2523618041761543,0.20318783004699384,-0.04917397412916044,0.00826621753246956
A,C,0.5,pooled conformal,0.4740080422460152,0.40022285741969865,-0.07378518482631657,0.01518580858850152
A,C,0.5,uncalibrated,0.4539024272079841,0.381570660336224,-0.07233176687176013,0.017358632641854777
A,C,0.75,pooled conformal,0.7158567898842111,0.6535051596337387,-0.06235163025047241,0.011811581696372309
A,C,0.75,uncalibrated,0.6515672690276634,0.5829659415725982,-0.0686013274550652,0.018346116024897274
A,C,0.9,pooled conformal,0.8867787413400513,0.8482147182791532,-0.03856402306089812,0.008702248017625633
A,C,0.9,uncalibrated,0.8282544450365776,0.7794680490286323,-0.04878639600794532,0.016904436503880432
B,A,0.25,pooled conformal,0.2440773218351824,0.2599195775398479,0.015842255704665492,-0.0008371945616924559
B,A,0.25,uncalibrated,0.25371832760040697,0.26839784894142726,0.014679521341020296,-0.0009442760135153216
B,A,0.5,pooled conformal,0.4726999660869144,0.4960999951552735,0.023400029068359085,-0.001369054079755655
B,A,0.5,uncalibrated,0.45651857952618574,0.47875587423089966,0.022237294704713917,-0.0024453837935813905
B,A,0.75,pooled conformal,0.7189089675887796,0.7354294850055715,0.016520517416791836,-0.0007975498878146081
B,A,0.75,uncalibrated,0.6481275132018798,0.6691536262777966,0.02102611307591684,-0.003251379103463542
B,A,0.9,pooled conformal,0.8835327745748752,0.8954992490673901,0.011966474492514867,-0.0003474013863199593
B,A,0.9,uncalibrated,0.81003827333947,0.8262681071653505,0.016229833825880502,-0.0036447111116345854
B,C,0.25,pooled conformal,0.2440773218351824,0.20478658979700595,-0.03929073203817646,0.004340567974107173
B,C,0.25,uncalibrated,0.25371832760040697,0.21404001744101545,-0.03967831015939152,0.004124902329680519
B,C,0.5,pooled conformal,0.4726999660869144,0.4258999079501962,-0.04680005813671817,0.00964988782047399
B,C,0.5,uncalibrated,0.45651857952618574,0.4115595174652391,-0.04495906206094663,0.010773475917393999
B,C,0.75,pooled conformal,0.7189089675887796,0.6781163703308948,-0.040792597257884866,0.009132819317315494
B,C,0.75,uncalibrated,0.6481275132018798,0.6038467128530595,-0.044280800348820315,0.014282620281937747
B,C,0.9,pooled conformal,0.8835327745748752,0.8598905091807567,-0.02364226539411851,0.007272884395069221
B,C,0.9,uncalibrated,0.81003827333947,0.7781115256043797,-0.0319267477350903,0.013738568778991406
C,A,0.25,pooled conformal,0.23254687272903446,0.31839542657816966,0.0858485538491352,0.0030965492352499624
C,A,0.25,uncalibrated,0.2342909742745022,0.32222276052516835,0.08793178625066614,0.00229965348339195
C,A,0.5,pooled conformal,0.4499781987306817,0.5642168499588198,0.11423865122813814,-0.0005775268601171668
C,A,0.5,uncalibrated,0.4204253669880335,0.5335497311176784,0.11312436412964494,-0.005719950081511438
C,A,0.75,pooled conformal,0.7107698270432634,0.7804854415968219,0.06971561455355846,-0.0031908446300299154
C,A,0.75,uncalibrated,0.6289423962017344,0.7065549149750496,0.07761251877331521,-0.014021164484763232
C,A,0.9,pooled conformal,0.8793178625066616,0.9159924422266363,0.03667457971997479,-0.001718908440244249
C,A,0.9,uncalibrated,0.7980717988469551,0.8543675209534421,0.056295722106487034,-0.013452838203943066
C,B,0.25,pooled conformal,0.23254687272903446,0.2922339033961533,0.059687030667118834,0.0014018086697887011
C,B,0.25,uncalibrated,0.2342909742745022,0.29615813187345574,0.06186715759895353,0.001123705108666273
C,B,0.5,pooled conformal,0.4499781987306817,0.5319509713676663,0.08197277263698466,-0.0022921237428415175
C,B,0.5,uncalibrated,0.4204253669880335,0.500847827140158,0.08042246015212445,-0.005521352900297011
C,B,0.75,pooled conformal,0.7107698270432634,0.7581028050966523,0.047332978053388874,-0.004040840047052241
C,B,0.75,uncalibrated,0.6289423962017344,0.6832517804369943,0.05430938423525988,-0.011256385323093282
C,B,0.9,pooled conformal,0.8793178625066616,0.9060123056053486,0.02669444309868707,-0.002760323348263441
C,B,0.9,uncalibrated,0.7980717988469551,0.836345138316942,0.0382733394699869,-0.01112510321574317
